Series Name,Series Code,Country Name,countrycode,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Labor force, total",SL.TLF.TOTL.IN,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8500719,8539975,8607321,8638153,8799524,8996098,9118415,9179631,9271447,9358682,9542614,9713101,9859433,10032150,10143548,10443456,10664324,10951719,11241263,11482552,11675443,11857590,12022336,12191663,12332149,12568796,12744765,13022869,13326802,13603127,13599459,13821829,14188083,14593816
"Labor force, total",SL.TLF.TOTL.IN,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3524952,3585317,3674884,3717260,3827748,3846779,3823952,3815158,3848029,3874937,3883391,3872867,3955409,3985902,3946181,4012358,4078846,4165230,4207426,4248651,4265488,4291049,4340007,4382851,4407077,4460463,4541001,4567690,4608423,4627750,4607853,4650207,4715124,4762160
"Labor force, total",SL.TLF.TOTL.IN,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3409093,3450142,3585570,3748231,3912686,4043898,4107878,4155540,4195469,4257576,4306234,4283030,4260614,4242455,4179032,4180297,4157327,4042762,4094522,4219228,4281288,4368984,4449918,4508074,4602987,4693026,4809412,4876185,4955866,4998234,5197914,4843562,5012404,5009964
"Labor force, total",SL.TLF.TOTL.IN,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,140803,144678,148521,152275,155918,158854,161732,164382,167222,170178,173045,175801,178542,181247,184263,187447,190813,194582,198100,201229,204779,208167,211442,214085,217003,219720,222209,224970,227745,230009,218012,224673,232678,235466
"Labor force, total",SL.TLF.TOTL.IN,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,226993,221644,228502,235398,242849,250748,259205,268404,278398,289134,300607,316440,346170,379899,417655,459923,507565,561432,609556,665645,701770,677360,693460,719472,745356,777303,818877,870904,868862,848579,820626,840354,868716,905498
"Labor force, total",SL.TLF.TOTL.IN,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36220330,37309118,38438786,39605055,40831150,42121735,43461440,44841978,46238056,47640113,49012721,50202022,51222747,52191921,53128855,54042558,54908227,55891567,56846810,57807404,58796583,59281113,59869794,60484221,61204476,61920877,62629015,66147765,67707982,69213088,70410966,72755656,74651451,75834921
"Labor force, total",SL.TLF.TOTL.IN,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,134200,134474,134536,136388,138085,140568,139437,140167,140921,141586,141943,142669,143924,145129,147603,148476,149367,150206,150841,151202,151410,151562,149937,152318,148747,147530,149789,150755,150433,149226,147279,148049,147042,147625
"Labor force, total",SL.TLF.TOTL.IN,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4656868,4649377,4667133,4683972,4704094,4724865,4719656,4703524,4718081,4752493,4815953,4871194,4907075,4931321,4947805,4959438,4972585,4989962,5017101,5047868,5072487,5089161,5094860,5096418,5096822,5096110,5091410,5078342,5052623,5023444,4980288,4937106,4905932,4856653
"Labor force, total",SL.TLF.TOTL.IN,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3938244,4027934,4070853,4096201,4162431,4194014,4204594,4226864,4260848,4368285,4412646,4307825,4358408,4395670,4486040,4627699,4647632,4735412,4779497,4801697,4901576,4884263,4917260,4966858,4984459,4994454,5001167,5037325,5093485,5146209,5124712,5217415,5320795,5367441
"Labor force, total",SL.TLF.TOTL.IN,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56315,58164,60096,61805,63461,66725,70561,74916,78094,82388,86164,89869,93582,97414,101380,105467,109679,114014,118461,123041,127831,132777,137753,142809,149447,155137,161445,166282,178447,189886,179096,175200,180679,186401
"Labor force, total",SL.TLF.TOTL.IN,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2052281,2116070,2182477,2300455,2394402,2427651,2486709,2563287,2648475,2737746,2830348,2925855,3024243,3128205,3235131,3353095,3468401,3577425,3695226,3820397,3950108,4080183,4235463,4393926,4557889,4727555,4901776,5081385,5267149,5459336,5605830,5870968,6035371,6204134
"Labor force, total",SL.TLF.TOTL.IN,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,237530,241869,233390,224753,225623,224217,226106,232095,238906,246980,255846,265213,275096,285485,296426,306675,315199,322998,330722,338169,337478,340377,331207,341708,333159,341579,346258,351309,356713,384922,400199,414321,384122,401413
"Labor force, total",SL.TLF.TOTL.IN,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2936211,3018311,3085817,3169133,3257636,3347227,3436412,3529691,3599373,3669870,3741182,3814211,3888572,3965089,4045470,4128982,4215393,4303228,4391153,4479358,4567789,4656827,4745827,4834468,4923514,5012373,5100033,5298716,5649910,5946418,5939447,6426918,6569575,6702504
"Labor force, total",SL.TLF.TOTL.IN,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1835828,1841201,1722817,1547738,1451447,1446375,1533245,1613443,1658997,1692881,1723408,1748958,1767704,1775586,1767966,1755779,1750056,1735948,1712952,1681868,1651355,1620096,1586613,1560902,1538400,1516931,1493951,1470994,1447773,1422553,1390332,1370363,1355798,1366194
"Labor force, total",SL.TLF.TOTL.IN,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,450390,464119,479858,497258,514808,531790,548430,564272,581158,593811,605662,627315,647894,667858,688033,708319,728696,758634,789289,820523,802345,828613,849151,865462,882070,899557,918682,939892,962977,987878,980428,1036012,1065472,1146757
"Labor force, total",SL.TLF.TOTL.IN,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62231527,63803243,65654226,67538482,69427335,71346700,71163065,73815138,75725311,78290799,80295093,82303564,85201661,86794128,89058034,91599988,92726865,93712199,95054971,96857149,96467543,95987652,96690220,97945820,98901551,100587656,101885554,103476109,104554923,106262669,100001874,104085430,106610573,106356432
"Labor force, total",SL.TLF.TOTL.IN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,111169,114327,118249,122467,126837,131354,135999,140730,145533,150477,155602,160781,165377,169865,174224,178441,182482,185717,188400,191439,194946,198704,202252,205548,208774,211934,215000,218025,225919,223877,224617,227037,230003,231915
"Labor force, total",SL.TLF.TOTL.IN,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3719434,3697006,3675711,3627691,3602723,3575753,3545894,3521893,3487986,3468612,3441466,3494894,3404016,3340007,3379275,3314525,3421452,3500732,3562863,3489069,3424396,3339707,3358087,3382916,3360300,3349965,3266917,3364856,3330233,3377136,3306399,3252125,3217289,3131695
"Labor force, total",SL.TLF.TOTL.IN,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4076580,4170246,4231560,4300025,4375696,4456418,4537038,4620062,4719132,4833630,4953691,5079216,5208335,5337468,5465720,5591307,5708826,5817468,5913296,6005410,6098364,6195296,6300018,6404890,6510477,6487050,6458883,6422574,6372960,6310717,6192649,6176046,6091676,6287117
"Labor force, total",SL.TLF.TOTL.IN,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2581935,2607838,2664991,2457056,2445092,2681962,2631487,2586586,2636111,2711621,2766896,2838292,2918476,3009287,3123186,3227287,3316162,3458975,3627058,3843653,4037123,4169441,4302379,4439368,4568956,4652272,4699696,4800813,4962798,5149165,5256748,5487609,5695461,5901964
"Labor force, total",SL.TLF.TOTL.IN,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,124052,126796,129540,132320,135145,137998,140888,143859,146938,150159,153739,157762,161946,166090,170161,174138,178016,181799,185468,188994,204374,207854,210577,212810,214593,215930,216787,217299,204314,211472,202693,206591,218809,221192
"Labor force, total",SL.TLF.TOTL.IN,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3330337,3421904,3575150,3776498,4029431,4329619,4688178,5088417,5387974,5565808,5758610,5954751,6150602,6346615,6561970,6779458,7006763,7242199,7248715,7740705,8200397,8456181,8380660,8249987,8400442,8465622,8833454,8936644,9128295,9329599,9480039,9341945,9572466,9740379
"Labor force, total",SL.TLF.TOTL.IN,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5023734,5171252,5322494,5480832,5644972,5813516,5988619,6171024,6357478,6545998,6737795,6936691,7147077,7364466,7584923,7808503,8035761,8274850,8349122,8404820,8440780,8576769,8709448,8842713,9008472,9205719,9380145,9534469,9686544,9849851,9926535,10140896,10518217,10843938
"Labor force, total",SL.TLF.TOTL.IN,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14657129,14723928,14690496,14776360,14916387,15019710,15170582,15409638,15645133,15924535,16186923,16454900,16941931,17341662,17554856,17706025,17980503,18289463,18579576,18747581,18934218,19112505,19332146,19544962,19594831,19705946,19857477,20155417,20391340,20799435,20505333,21005652,21456376,22197237
"Labor force, total",SL.TLF.TOTL.IN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1153521,1183756,1217150,1253441,1291329,1324606,1357287,1394963,1434184,1475862,1519797,1554776,1591138,1633162,1670331,1710058,1743881,1774213,1810032,1791421,1768615,1787333,1789171,1783385,1752553,1739750,1771652,1800948,1832281,1857882,1874715,1900739,1906249,1927491
"Labor force, total",SL.TLF.TOTL.IN,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2283052,2369333,2477814,2514530,2527214,2636467,2743008,2800176,2864476,2940091,3012805,3080214,3158872,3273492,3419195,3541960,3639849,3732926,3836518,3946011,4047417,4160410,4278285,4404608,4536040,4641540,4749824,4877709,5014610,5188027,5320890,5540827,5881552,6221467
"Labor force, total",SL.TLF.TOTL.IN,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69011,69609,69791,69698,69745,70065,70571,71106,71725,72571,73189,73615,74285,74956,75690,76639,77353,78119,78845,79519,80113,79973,80401,80727,81181,81626,81885,82085,82273,82564,81811,82837,82951,82457
"Labor force, total",SL.TLF.TOTL.IN,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4947079,5112321,5316439,5475416,5619145,5810257,5980808,6086471,6211120,6313009,6343733,6355065,6411103,6589050,6752634,6916575,7184183,7369317,7648250,7744258,8113921,8424492,8539046,8667171,8828997,8968101,9121865,9423968,9671888,9843775,8906788,9171143,9670728,9991796
"Labor force, total",SL.TLF.TOTL.IN,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,639912098,646245556,652547071,658329022,664565882,671238114,678359927,686473251,694001983,700421936,706837950,715928584,725938760,735682023,744936890,754465388,761948735,766486940,769779554,772141043,773873234,778275581,779022561,779251311,780370287,781077009,780932880,779166682,776868988,775928449,763830073,781187865,770113477,774607590
"Labor force, total",SL.TLF.TOTL.IN,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13877704,14224101,14623933,15067410,15530344,15991136,16380472,16820298,17194464,17422434,17848151,18236154,18340323,18966234,19153768,19163184,19349955,19533984,20022584,21321685,21788403,22348779,22946523,23081167,23376219,23770146,23971867,24367946,24727292,25000012,25151123,25915910,25830229,26490194
"Labor force, total",SL.TLF.TOTL.IN,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98548,101010,102937,104436,106006,107675,109462,111413,113555,116028,118766,121579,124427,127197,130361,135799,141390,147125,153038,159104,165266,171513,177826,183981,189935,198371,207002,215982,225278,234738,242808,253795,262624,268470
"Labor force, total",SL.TLF.TOTL.IN,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14709679,15197966,15709491,16279006,17151049,17900885,18082975,18200399,18640942,19281366,19898577,20529206,21152755,21758097,22393011,23088764,23509900,23897816,24276075,24679535,25138984,25643182,26140390,27043987,27971707,28902362,29975111,31131858,32171243,33156212,32851843,35154175,36183996,37296766
"Labor force, total",SL.TLF.TOTL.IN,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,915459,944170,973602,1005673,1038328,1069595,1101361,1123974,1148519,1183209,1239273,1295795,1327271,1367288,1420042,1477494,1539136,1600292,1653899,1724220,1799266,1854014,1899278,1937002,1976492,2018485,2064177,2114024,2167237,2223063,2240426,2316880,2409732,2485719
"Labor force, total",SL.TLF.TOTL.IN,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1146377,1162715,1180500,1236713,1286844,1351531,1345220,1441542,1526529,1573058,1596716,1679060,1710423,1762605,1771024,1888687,1911390,1978866,2003972,2030924,2027352,2114264,2283817,2299128,2357268,2344336,2262369,2300637,2422784,2534006,2419014,2490873,2504874,2340587
"Labor force, total",SL.TLF.TOTL.IN,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4183374,4365295,4557595,4757806,4965064,5179592,5400854,5628206,5858115,6073240,6253233,6429804,6605404,6779544,6954300,7133307,7316980,7505748,7771201,8106769,8433828,8749057,9048653,9300550,9534032,9764022,10013267,10180365,10349949,10522774,10870521,11440310,11882499,12216126
"Labor force, total",SL.TLF.TOTL.IN,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2205287,2164697,2100893,2100259,2111599,2084050,2042400,2018865,2004029,1983687,1953924,1869944,1859219,1865731,1912837,1910033,1894312,1924883,1934423,1932994,1911488,1880052,1857929,1830102,1872249,1866214,1796035,1777161,1739585,1721494,1708121,1724158,1740579,1731721
"Labor force, total",SL.TLF.TOTL.IN,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4376563,4410573,4431848,4434648,4471568,4506451,4555046,4594745,4630510,4681614,4728460,4763332,4788681,4819364,4855362,4905296,4955093,4988644,5010521,5142082,5096065,5113408,5130811,5147391,5156828,5174669,5176250,5170781,5154678,5122393,4836553,4841907,4939595,4897311
"Labor force, total",SL.TLF.TOTL.IN,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,356811,364495,369147,376868,385822,395306,405086,414925,424724,434538,444571,467154,477404,498316,512182,525197,538627,556863,569349,583119,600971,610147,623910,635175,651925,657397,663048,678816,698503,715161,719491,735675,755975,766606
"Labor force, total",SL.TLF.TOTL.IN,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4990849,5006830,5048967,5090175,5148804,5169680,5173419,5184785,5198829,5218785,5175714,5146214,5141940,5134951,5133307,5175001,5192187,5188948,5203709,5244400,5230927,5223171,5253910,5300303,5296601,5305064,5344644,5370664,5405110,5394887,5343016,5242069,5369986,5536144
"Labor force, total",SL.TLF.TOTL.IN,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2869730,2876655,2879282,2858653,2780928,2820861,2834685,2851413,2837498,2873210,2861618,2851668,2881404,2877534,2901221,2902668,2933792,2931561,2924360,2914702,2893686,2892968,2877238,2854299,2869233,2899972,2943425,2970148,2992952,3034322,3032016,3079023,3147518,3189737
"Labor force, total",SL.TLF.TOTL.IN,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,116998,127625,126820,124684,127477,129059,132555,138084,144623,150424,155729,161211,166727,170669,173339,176212,180059,184506,188875,193385,197854,202246,206626,211017,215430,219843,224255,228680,233085,237422,237430,244027,254258,260365
"Labor force, total",SL.TLF.TOTL.IN,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2474752,2538345,2621362,2698269,2767220,2843663,2921563,3006359,3088363,3170249,3248886,3248577,3333649,3348018,3431434,3488715,3602884,3668718,3765044,3696350,3849571,4020502,4180944,4239112,4327340,4581646,4689168,4755988,4935940,5117215,4805608,5099149,5169749,5323558
"Labor force, total",SL.TLF.TOTL.IN,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4043013,4168298,4279454,4389724,4515889,4629233,4740530,4912617,5196031,5202562,5202036,5375291,5554493,5740735,6069723,6169877,6409972,6449993,6581958,6478792,6489520,6540161,6757347,6882742,7072058,7577726,7985502,8229598,8251116,8393240,7739432,8506635,8627291,8695838
"Labor force, total",SL.TLF.TOTL.IN,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16077360,16639933,17287797,18050843,18936961,19086778,19361060,19639085,19954542,21254606,21302020,21324246,21097168,22178983,23289758,24412249,25528081,26632069,26970086,27711440,29112224,29381900,29870854,30519334,30992087,30851683,31224055,30714881,30208878,30072045,30264331,31865548,32394044,33137441
"Labor force, total",SL.TLF.TOTL.IN,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1935750,1972691,2015122,2084523,2156922,2164164,2149076,2174391,2284553,2296264,2300761,2302106,2301183,2376142,2336542,2368100,2397018,2437329,2448227,2459601,2471139,2492794,2554561,2605139,2591567,2591980,2645808,2658834,2664978,2732360,2606548,2739437,2806629,2854017
